-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1014.0     17   28.2   25.2     84  20.40      0      0  300.2  360.3  303.8
 1000.0    137   26.0   23.6     87  18.74     70      6  299.1  354.1  302.5
  983.0    288   24.8   23.0     90  18.35     75     11  299.4  353.2  302.6
  954.0    552   22.6   21.9     96  17.69     82     15  299.8  351.7  302.9
  925.0    821   20.6   19.8     95  15.98     90     20  300.4  347.4  303.2
  901.0   1048   19.6   17.7     89  14.38     95     23  301.6  344.2  304.2
  866.0   1389   18.2   14.6     80  12.21    102     24  303.6  340.1  305.8
  850.0   1549   17.8   12.8     73  11.04    105     25  304.8  338.1  306.8
  844.0   1609   17.5   12.3     71  10.75    105     25  305.1  337.6  307.1
  800.0   2067   15.4    8.4     63   8.72     95     26  307.6  334.3  309.2
  784.0   2238   15.6   -1.4     31   4.42     91     26  309.5  323.6  310.4
  779.0   2292   15.3    0.1     36   4.99     90     26  309.8  325.6  310.7
  768.0   2413   14.6    3.6     48   6.49     92     27  310.3  330.7  311.5
  746.0   2658   12.8    3.8     54   6.78     97     28  310.9  332.2  312.2
  712.0   3049   10.8   -6.2     30   3.39    104     30  312.9  324.0  313.5
  707.0   3107   10.4   -5.0     34   3.76    105     30  313.1  325.3  313.8
  700.0   3190    9.8   -3.2     40   4.34    110     29  313.3  327.3  314.1
  681.0   3418    7.4    2.9     73   6.97    112     27  313.1  335.1  314.4
  660.0   3676    5.4    2.0     78   6.73    115     24  313.7  335.1  315.0
  645.0   3865    4.0    1.3     83   6.56    109     24  314.1  335.0  315.4
  635.0   3992    3.2   -0.3     78   5.93    104     23  314.6  333.6  315.8
  625.0   4122    4.4  -12.6     28   2.33    100     23  317.4  325.4  317.9
  615.0   4253    4.0  -15.0     24   1.95     95     23  318.4  325.2  318.8
  552.0   5125   -1.7   -6.7     69   4.22     65     21  321.7  335.8  322.5
  543.0   5256   -2.4   -8.0     65   3.87     60     21  322.4  335.4  323.2
  525.0   5525   -3.7  -10.7     58   3.24     70     16  323.9  335.0  324.6
  516.0   5661   -3.9  -25.9     16   0.90     75     14  325.3  328.6  325.5
  503.0   5863   -5.0  -23.0     23   1.20     45     17  326.3  330.7  326.5
  500.0   5910   -5.3  -22.3     25   1.29     45     17  326.5  331.2  326.8
  495.0   5988   -5.7  -20.7     30   1.49     53     15  327.0  332.4  327.3
  491.0   6051   -6.0  -22.8     25   1.25     60     13  327.4  331.9  327.6
  469.0   6406   -7.7  -34.8      9   0.43     85     14  329.6  331.3  329.7
  461.0   6539   -8.3  -39.3      6   0.28     85     16  330.4  331.5  330.5
  445.0   6809   -9.8  -38.2      8   0.32     85     21  331.9  333.2  332.0
  419.0   7270  -12.3  -36.3     12   0.41    113     19  334.4  336.1  334.5
  408.0   7471  -14.1  -26.1     36   1.12    125     18  334.7  338.9  334.9
  400.0   7620  -14.9  -31.9     22   0.66    130     21  335.5  338.1  335.7
  392.0   7773  -15.6  -34.5     18   0.52    125     30  336.6  338.7  336.7
  388.0   7851  -15.9  -35.9     16   0.46    125     30  337.2  339.0  337.2
  343.0   8763  -24.6  -38.3     27   0.41    130     28  337.4  339.1  337.5
  332.0   9004  -26.9  -38.9     31   0.40    114     27  337.4  339.0  337.5
  313.0   9426  -30.0  -42.6     28   0.29     85     26  338.8  340.0  338.9
  300.0   9730  -32.3  -45.3     26   0.22     85     25  339.7  340.7  339.8
  280.0  10212  -35.3  -57.4      9   0.06     90     32  342.2  342.5  342.2
  276.0  10313  -35.9  -59.9      7   0.04     92     31  342.7  342.9  342.7
  269.0  10490  -37.3  -59.3      8   0.05     95     30  343.2  343.4  343.2
  250.0  10990  -42.1  -57.1     18   0.07    105     25  343.3  343.6  343.4
  242.0  11208  -44.2  -55.2     28   0.09    105     22  343.4  343.8  343.5
  234.0  11433  -46.3  -53.3     45   0.12    130     20  343.5  344.0  343.6
  222.0  11778  -48.4  -59.3     27   0.06    170     18  345.5  345.8  345.6
  202.0  12396  -52.1  -70.1     10   0.01    170     21  349.1  349.2  349.1
  200.0  12460  -52.7  -68.7     13   0.02    175     20  349.1  349.2  349.2
  170.0  13479  -61.6  -69.4     34   0.02    255     13  351.0  351.1  351.0
  160.0  13859  -64.9  -69.7     51   0.02    247     11  351.5  351.6  351.6
  158.0  13935  -65.4  -70.6     48   0.02    245     11  352.0  352.1  352.0
  153.0  14130  -66.6  -72.9     41   0.01    275      8  353.2  353.3  353.2
  150.0  14250  -67.3  -74.3     36   0.01    300     11  354.0  354.0  354.0
  148.0  14330  -67.8  -75.3     34   0.01    300     11  354.5  354.5  354.5
  142.0  14579  -69.3  -78.3     26   0.01    305     19  356.1  356.1  356.1
  137.0  14788  -70.6  -79.1     27   0.01    310     25  357.5  357.5  357.5
  131.0  15050  -72.2  -80.1     29   0.00    320     20  359.2  359.3  359.2
  121.0  15514  -75.0  -81.9     33   0.00    280     13  362.4  362.4  362.4
  119.0  15611  -75.5  -82.3     34   0.00    290     11  363.0  363.0  363.0
  112.0  15966  -77.7  -83.7     38   0.00    329      6  365.3  365.4  365.3
  110.0  16068  -78.2  -84.7     35   0.00    340      4  366.2  366.2  366.2
  105.0  16333  -79.6  -87.4     27   0.00     75     12  368.5  368.5  368.5
  104.0  16387  -79.9  -87.9     26   0.00     75     16  368.9  369.0  368.9
  101.0  16553  -78.7  -86.7     26   0.00     65     26  374.4  374.4  374.4
  100.0  16610  -78.7  -86.7     26   0.00     65     26  375.4  375.4  375.4
   96.5  16814  -74.9  -86.9     14   0.00     96     24  386.7  386.7  386.7
   95.0  16905  -75.2  -87.3     14   0.00    110     23  387.8  387.8  387.8
   90.0  17215  -76.3  -88.8     13   0.00    110     20  391.6  391.7  391.6
   84.0  17612  -77.7  -90.6     11   0.00     90     23  396.6  396.6  396.6
   83.2  17667  -77.9  -90.9     11   0.00     94     20  397.3  397.3  397.3
   82.0  17752  -73.8  -90.2      7   0.00    100     15  407.3  407.3  407.3
   81.1  17816  -70.7  -89.7      5   0.00    136     11  415.0  415.0  415.0
   80.0  17897  -70.1  -89.1      5   0.00    180      7  417.9  417.9  417.9
   79.7  17919  -69.9  -88.9      5   0.00    189      9  418.7  418.7  418.7
   79.0  17971  -69.9  -89.0      5   0.00    210     13  419.8  419.8  419.8
   77.0  18124  -69.9  -89.4      4   0.00    245     25  422.8  422.9  422.8
   73.0  18441  -69.9  -90.2      4   0.00    245     36  429.3  429.3  429.3
   70.0  18690  -69.9  -90.9      3   0.00    250     27  434.5  434.5  434.5
   65.0  19129  -71.6  -91.4      4   0.00    260     23  440.2  440.2  440.2
   61.8  19428  -72.7  -91.7      4   0.00    277     22  444.1  444.1  444.1
   58.1  19792  -72.1  -92.1      4   0.00    298     20  453.3  453.3  453.3
   56.0  20015  -69.7  -92.0      3   0.00    310     19  463.5  463.5  463.5
   54.0  20234  -67.4  -92.0      2   0.00    310     18  473.8  473.8  473.8
   53.0  20347  -66.2  -92.0      2   0.00    305     13  479.1  479.1  479.1
   52.0  20462  -64.9  -91.9      1   0.00    280      4  484.6  484.6  484.6
   51.0  20579  -63.7  -91.9      1   0.00    235     12  490.2  490.3  490.2
   50.4  20651  -62.9  -91.9      1   0.00    238     14  493.7  493.7  493.7
   50.0  20700  -63.1  -92.1      1   0.00    240     16  494.4  494.4  494.4
   49.0  20825  -62.8  -92.0      1   0.00    260     19  497.9  497.9  497.9
   41.0  21929  -60.2  -91.3      1   0.00    280     35  530.4  530.4  530.4
   38.0  22400  -59.1  -91.0      1   0.00    285     20  544.8  544.8  544.8
   37.4  22499  -58.9  -90.9      1   0.00    279     18  547.9  547.9  547.9
   37.0  22565  -59.0  -90.9      1   0.00    275     17  549.2  549.3  549.2
   35.0  22911  -59.6  -91.0      1   0.00    185     10  556.5  556.5  556.5
   34.0  23091  -59.9  -91.1      1   0.00     85      5  560.3  560.3  560.3
   32.0  23469  -60.6  -91.2      1   0.00     85     12  568.3  568.3  568.3
   30.0  23870  -61.3  -91.3      1   0.00     85     25  577.0  577.0  577.0
   29.3  24016  -62.1  -92.1      1   0.00     78     27  578.7  578.7  578.7
   28.0  24300  -59.9  -91.8      1   0.00     65     30  592.5  592.5  592.5
   27.0  24527  -58.0  -91.6      1   0.00     90     42  603.7  603.7  603.7
   26.7  24597  -57.5  -91.5      1   0.00     90     44  607.2  607.2  607.2
